protocol,start,end,sum
UDP,61571,13123,1
UDP,38696,35248,1
TCP,55717,80,1
TCP,80,49450,1
UDP,35487,64796,1
TCP,53543,80,1
UDP,2650,26486,1
UDP,34535,42265,1
TCP,80,48010,1
TCP,25299,80,1
UDP,42249,26486,1
TCP,80,17847,1
TCP,80,56028,1
TCP,10648,80,1
TCP,80,15722,1
TCP,42351,80,1
TCP,33259,80,1
UDP,11350,42265,1
TCP,80,61534,1
TCP,55019,80,1
TCP,27848,80,1
TCP,43888,80,1
TCP,810,34494,1
UDP,48536,42265,1
TCP,54090,80,1
UDP,26228,13536,1
TCP,54052,80,1
UDP,58564,34354,1
TCP,80,50664,1
TCP,1279,80,1
TCP,59508,80,1
TCP,3677,80,1
TCP,24225,80,1
UDP,54968,13536,1
TCP,4623,80,1
UDP,18950,13123,1
TCP,80,3402,1
TCP,26418,80,1
UDP,14629,64796,1
UDP,8384,42265,1
TCP,80,44582,1
TCP,80,3620,1
TCP,46478,80,1
TCP,80,25579,1
TCP,80,51706,1
TCP,19668,80,1
TCP,3053,80,1
TCP,80,63727,1
TCP,30495,80,1
TCP,80,13998,1
UDP,58653,42265,1
TCP,34891,80,1
TCP,80,37977,1
TCP,80,59810,1
TCP,15690,80,1
TCP,6130,80,1
TCP,27306,80,1
TCP,80,49747,1
UDP,10739,35248,1
TCP,58150,80,1
UDP,51886,42265,1
TCP,9667,80,1
UDP,35023,35248,1
TCP,80,3623,1
