protocol,start,end,sum
TCP,1887,80,2
TCP,40589,80,1
TCP,31214,80,2
TCP,14085,80,1
TCP,37434,80,1
TCP,16175,80,1
TCP,2740,80,1
TCP,44812,80,1
TCP,43029,80,1
TCP,37487,80,1
TCP,54850,80,1
TCP,56357,80,1
TCP,24892,80,1
TCP,20649,80,1
TCP,6089,80,1
TCP,9211,80,1
TCP,50637,80,1
TCP,32016,80,1
TCP,3642,80,1
TCP,56558,80,1
TCP,5129,80,1
TCP,6203,80,1
TCP,2748,80,1
TCP,1197,80,1
TCP,3392,80,1
TCP,28722,80,1
TCP,57271,80,1
TCP,50568,80,2
TCP,15957,80,1
TCP,1079,80,1
TCP,49968,80,1
TCP,49917,80,1
TCP,5889,80,1
TCP,4512,80,1
TCP,23825,80,1
TCP,8907,80,1
TCP,6785,80,1
TCP,38476,80,1
TCP,11158,80,1
TCP,1569,80,2
TCP,28830,80,1
TCP,48754,80,1
TCP,29153,80,1
TCP,52172,80,1
TCP,4418,80,1
TCP,11320,80,1
TCP,26868,80,1
TCP,61021,80,1
TCP,1542,80,4
TCP,12876,80,1
TCP,61090,80,1
TCP,1190,80,1
TCP,2334,80,1
TCP,50734,80,1
TCP,52010,80,1
TCP,54019,80,1
TCP,49922,80,1
TCP,50787,80,1
TCP,11746,80,1
TCP,2215,80,2
TCP,44929,80,1
TCP,64010,80,1
TCP,17710,80,1
TCP,15572,80,1
TCP,58032,80,1
TCP,4442,80,2
TCP,35900,80,1
TCP,6777,80,1
TCP,52763,80,1
TCP,10312,80,1
TCP,10790,80,1
TCP,10495,80,1
TCP,49299,80,1
TCP,14333,80,1
TCP,39940,80,1
TCP,32429,80,1
TCP,1231,80,1
TCP,9695,80,1
TCP,5953,80,1
TCP,3599,80,1
TCP,18597,80,1
TCP,7193,80,1
TCP,17215,80,1
TCP,63943,80,1
TCP,1859,80,1
TCP,26561,80,1
TCP,64895,80,1
TCP,51336,80,1
TCP,1385,80,3
TCP,1637,80,3
TCP,27472,80,1
TCP,28196,80,1
TCP,3254,80,1
TCP,45007,80,1
