protocol,start,end,sum
TCP,80,9656,1
TCP,3268,80,1
TCP,62635,80,1
TCP,35474,80,1
TCP,17541,80,1
TCP,61165,80,1
TCP,30153,80,1
TCP,48412,80,2
TCP,30180,80,1
TCP,3986,80,3
TCP,17107,80,3
TCP,50218,56653,1
TCP,57069,80,1
TCP,57976,80,1
TCP,55017,80,1
TCP,62714,80,1
TCP,60399,80,2
TCP,64,80,1
TCP,28415,80,1
TCP,80,45284,1
TCP,65470,80,1
TCP,80,63844,1
TCP,80,16553,1
TCP,10160,80,1
TCP,80,33111,1
TCP,9509,80,2
TCP,3117,80,1
TCP,43263,80,1
TCP,35842,80,1
TCP,80,61762,1
TCP,53030,80,1
TCP,1968,80,1
TCP,80,45264,1
TCP,57998,80,2
TCP,80,35703,1
TCP,6366,80,1
TCP,26609,80,1
TCP,46124,80,1
TCP,80,3855,1
TCP,196,80,1
TCP,42289,80,1
TCP,80,2170,1
TCP,23863,80,1
TCP,30631,80,1
TCP,80,3398,1
TCP,80,1431,1
TCP,15262,80,1
TCP,31453,80,1
TCP,5979,80,1
TCP,80,8016,1
TCP,80,44482,1
TCP,33050,80,1
TCP,80,56110,1
TCP,19505,80,1
TCP,36371,80,1
TCP,59943,80,2
TCP,1744,80,3
TCP,80,64743,1
TCP,14595,80,1
TCP,80,14481,1
TCP,45224,80,1
TCP,33883,80,1
TCP,16322,80,1
TCP,14955,80,2
TCP,14156,80,1
TCP,80,22784,1
TCP,39598,80,1
TCP,80,30220,2
TCP,42556,80,1
TCP,50255,80,1
TCP,65402,80,2
TCP,1266,80,1
TCP,6787,80,1
TCP,58845,80,1
TCP,80,34074,1
TCP,58582,80,1
TCP,30178,80,1
TCP,36873,80,1
TCP,6712,80,1
TCP,65295,80,1
TCP,36597,80,1
TCP,80,39815,1
TCP,57229,80,1
TCP,12025,80,1
TCP,34979,80,1
TCP,43707,80,1
TCP,80,30348,1
TCP,80,41691,1
TCP,38935,80,2
TCP,59898,80,1
TCP,36838,80,1
TCP,50363,80,2
TCP,80,43512,1
TCP,44624,80,3
TCP,34826,80,1
TCP,53907,80,2
TCP,29730,80,1
TCP,34933,80,1
TCP,20932,80,1
TCP,80,53361,1
UDP,1900,44473,551
TCP,177,80,1
TCP,45058,80,1
TCP,17657,80,1
TCP,80,47853,1
TCP,61799,80,1
TCP,17014,80,1
TCP,53998,80,1
UDP,1900,25580,32
TCP,26808,80,2
TCP,29241,80,1
TCP,80,37299,1
TCP,80,2451,1
TCP,80,9010,1
TCP,10982,80,1
TCP,29682,80,1
TCP,80,57036,1
TCP,80,63698,1
TCP,80,42680,1
TCP,61092,80,1
TCP,80,61365,1
TCP,37135,80,1
TCP,27139,80,1
TCP,9487,80,3
TCP,62376,80,1
TCP,80,24321,1
TCP,80,15168,1
TCP,80,38504,1
TCP,20539,80,1
TCP,48078,80,1
TCP,28368,80,1
TCP,33047,80,1
TCP,60695,80,1
TCP,9922,80,1
TCP,49596,80,1
TCP,80,49880,1
TCP,80,37929,1
TCP,63016,80,1
TCP,3777,80,1
TCP,19813,80,1
TCP,52071,80,1
TCP,2206,80,1
TCP,11663,80,1
TCP,38655,80,1
TCP,80,15476,1
TCP,20267,80,2
TCP,60374,80,1
TCP,80,26646,1
TCP,55099,80,1
TCP,9948,80,2
TCP,11372,80,1
TCP,36906,80,1
TCP,80,43773,1
TCP,56868,443,1
TCP,80,47915,1
TCP,47014,80,2
TCP,4885,80,1
TCP,23196,80,2
TCP,21768,80,1
TCP,12683,80,1
TCP,38743,80,1
TCP,80,63905,1
TCP,80,61436,1
TCP,27602,80,1
TCP,53054,443,1
TCP,80,54154,1
TCP,80,11898,1
TCP,41522,8080,1
TCP,13869,80,1
TCP,80,31770,1
TCP,1230,80,1
TCP,19919,80,1
TCP,40512,80,1
TCP,49699,80,1
TCP,60780,80,1
TCP,48345,80,1
TCP,58062,80,1
TCP,80,22585,1
TCP,3019,80,1
TCP,38473,80,2
TCP,34292,80,2
TCP,80,38556,1
TCP,50095,80,1
TCP,22471,80,1
TCP,80,17432,1
TCP,80,49125,1
TCP,80,49307,1
TCP,7802,80,2
TCP,32812,80,1
TCP,48233,80,1
TCP,4262,80,1
TCP,36911,80,1
TCP,33506,80,1
TCP,24233,80,1
TCP,30408,80,1
TCP,5194,80,1
TCP,32855,80,1
TCP,2496,80,1
UDP,53,51013,1
TCP,41646,80,1
TCP,1513,80,1
TCP,45997,80,2
TCP,80,21658,2
TCP,80,22546,1
TCP,63988,80,1
TCP,26634,80,1
TCP,43915,80,1
TCP,6208,80,1
TCP,52011,80,1
TCP,49423,80,2
TCP,23306,80,1
TCP,48075,80,1
TCP,80,7968,1
TCP,58450,80,1
TCP,30247,80,1
TCP,28481,80,1
TCP,54565,80,1
TCP,59679,80,1
TCP,80,40778,1
TCP,41942,80,1
TCP,35468,80,1
TCP,80,2816,1
TCP,27810,80,1
TCP,80,51290,1
